"","City","lon","lat"
"430","Los Angeles, CA",-118.2436849,34.0522342
"431","Chicago, IL",-87.6297982,41.8781136
"432","Pataskala, OH",-82.6743341,39.9956193
"433","Corona, CA",-117.5664384,33.8752935
"434","Plano, TX",-96.6988856,33.0198431
"435","Bellevue, WA",-122.2015159,47.6101497
"436","Lake Forest, CA",-117.6861023,33.6469437
"437","White Marsh, MD",-76.4599043,39.3794196
"438","Kansas City, MO",-94.5785667,39.0997265
"439","Atlanta, GA",-84.3879824,33.7489954
"440","Springfield, VA",-77.1872036,38.7892801
"441","Santa Clara, CA",-121.9552356,37.3541079
"442","El Segundo, CA",-118.4164652,33.9191799
"443","Menlo Park, CA",-122.1817252,37.4529598
"444","New York, NY",-74.0059728,40.7127753
"445","New York, NY",-74.0059728,40.7127753
"446","Jacksonville, FL",-81.655651,30.3321838
"447","Kent, WA",-122.2348432,47.3809335
"448","New York, NY",-74.0059728,40.7127753
"449","New York, NY",-74.0059728,40.7127753
"450","University Park, PA",-77.8653126,40.8147955
"451","Brisbane, CA",-122.3999715,37.6807661
"452","Chicago, IL",-87.6297982,41.8781136
"453","Arlington, VA",-77.0909809,38.8816208
"454","Blacksburg, VA",-80.4139393,37.2295733
"455","Cleveland, OH",-81.6943605,41.49932
"456","San Francisco, CA",-122.4194155,37.7749295
"457","Chicago, IL",-87.6297982,41.8781136
"458","San Francisco, CA",-122.4194155,37.7749295
"459","Santa Clara, CA",-121.9552356,37.3541079
"460","Houston, TX",-95.3698028,29.7604267
"461","Springfield, VA",-77.1872036,38.7892801
"462","Fairfax, VA",-77.3063733,38.8462236
"463","Hanover, NH",-72.2895526,43.7022451
"464","Santa Clara, CA",-121.9552356,37.3541079
"465","Washington, DC",-77.0368707,38.9071923
"466","Cambridge, MA",-71.1097335,42.3736158
"467","Saint Louis, MO",-90.1994042,38.6270025
"468","Cambridge, MA",-71.1097335,42.3736158
"469","Chicago, IL",-87.6297982,41.8781136
"470","Greenbelt, MD",-76.8755282,39.0045544
"471","Englewood, CO",-104.9877597,39.6477653
"472","Santa Clara, CA",-121.9552356,37.3541079
