"","Company","Location","Industry","Rating","Salaries","Python","R","SAS","SQL","Java","Tableau","Spark","C","Perl","Excel","Hadoop","NoSQL","HBase","State","max","min","mean"
"664"," Software Engineering Institute","Pittsburgh, PA","Education",3.6,"$59k-$98k(Glassdoor est.)",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"PA","98","59",78.5
"665",NA,"Saint Louis, MO","Information Technology",3.4,"$68k-$103k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"MO","103","68",85.5
"666"," ExtraHop Networks, Inc.","Seattle, WA","Information Technology",3.8,"$77k-$109k(Glassdoor est.)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WA","109","77",93
"667"," Twitter","San Francisco, CA","Information Technology",3.9,"$134k-$184k(Glassdoor est.)",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"CA","184","134",159
"668"," Abcam","Eugene, OR","Biotech ; Pharmaceuticals",3,"$69k-$99k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"OR","99","69",84
"669"," NJF Global Holdings","San Francisco, CA","Business Services",3.9,"$96k-$144k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA","144","96",120
"670"," Maple Leaf Sports & Entertainment","Ontario, CA","Arts, Entertainment ; Recreation",3.6,"$67k-$104k(Glassdoor est.)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA","104","67",85.5
"671"," Intuit","San Francisco, CA","Information Technology",4.2,"$142k-$193k(Glassdoor est.)",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA","193","142",167.5
"672"," AmerisourceBergen","Chesterbrook, PA","Biotech ; Pharmaceuticals",3.2,"$57k-$89k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"PA","89","57",73
"673"," RentPath","Atlanta, GA","Real Estate",3,"$70k-$106k(Glassdoor est.)",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"GA","106","70",88
"674"," Accolade","Seattle, WA","Health Care",3.8,"$122k-$171k(Glassdoor est.)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"WA","171","122",146.5
"675"," Uber","San Francisco, CA","Information Technology",4.2,"$113k-$158k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA","158","113",135.5
"676"," Bigfoot Biomedical","Milpitas, CA","Health Care",5,"$94k-$136k(Glassdoor est.)",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"CA","136","94",115
"677"," Cotiviti","Atlanta, GA","Business Services",3.3,"$73k-$110k(Glassdoor est.)",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"GA","110","73",91.5
"678"," McKinsey","Chicago, IL","Business Services",4.4,"$100k-$149k(Glassdoor est.)",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"IL","149","100",124.5
"680"," Virta Health","San Francisco, CA","Health Care",5,"$105k-$156k(Glassdoor est.)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA","156","105",130.5
